timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
473,134.4239,15.747651,643.5363,22.148973
474,133.51117,15.837656,645.86707,21.740618
475,132.384,15.959033,648.1297,21.324392
476,131.15672,16.33223,650.3273,20.896729
477,129.87477,16.030651,652.4623,20.453749
478,128.91113,15.93207,654.536,19.99201
479,127.27533,15.95855,656.5485,19.509424
480,126.20658,16.090939,658.49884,19.006138
481,125.13534,15.694241,660.3845,18.485191
482,123.71599,14.950276,662.2032,17.95225
483,122.41203,14.559162,663.95276,17.414536
484,121.291306,13.947305,665.63257,16.879911
485,120.20361,12.99306,667.24384,16.356266
486,119.54238,13.052762,668.78937,15.851517
487,118.30332,13.042361,670.27264,15.373584
488,117.34747,12.251285,671.6986,14.929585
489,116.653076,11.909638,673.073,14.5247755
490,115.49419,11.601116,674.4025,14.161418
491,114.08305,11.16781,675.6942,13.839175
492,112.90891,10.93714,676.95526,13.556166
493,111.85857,10.875328,678.1918,13.310557
494,110.876465,11.217852,679.409,13.101742
495,109.996216,11.167222,680.6108,12.930499
496,108.899086,10.955951,681.8004,12.798657
497,107.83678,10.664524,682.98047,12.708209
498,106.61257,10.392438,684.1541,12.660612
499,105.76542,10.137408,685.32446,12.656036
500,104.85628,9.962908,686.4952,12.692968
501,104.162926,9.866846,687.6708,12.768106
502,103.45103,9.796231,688.85583,12.876517
503,102.65315,9.593127,690.05505,13.012072
504,101.90794,9.342966,691.2734,13.168133
505,101.46126,9.47306,692.5147,13.337835
506,101.11919,9.432106,693.78265,13.515096
507,100.60921,9.465066,695.07996,13.694842
508,100.31362,9.1656,696.4084,13.873445
509,100.28775,8.905976,697.76855,14.0489025
510,100.077805,9.186881,699.16064,14.220653
511,99.99444,9.280843,700.58356,14.389215
512,100.01683,8.970159,702.0359,14.555863
